,sentence,label
965,"Родители Владислава давно развелись, он жил на съёмной квартире с матерью Галиной Росляковой, которая работает санитаркой в онкологическом диспансере Керчи.",1
980,"77-минутный альбом Revival тяжело слушать, по ходу прослушивания погружение в музыку усиливается, из-за гостей Ed Sheeran and X Ambassadors.",1
981,"В двухлетнюю годовщину начала «жасминовой революции» множество египтян последовали призывам оппозиции выйти на антиправительственные демонстрации, вскоре в нескольких городах начались столкновения с полицией.",0
984,"Шекатт сидел в тюрьмах за воровство и насилие, где, считают власти, он стал придерживаться радикальных религиозных взглядов.",0
985,Подозреваемому в совершении преступления — двадцатидвухлетнему Джареду Лафнеру — предъявлены обвинения в покушении на убийство Гиффордс и двух её помощников.,0
986,"18 марта 2013 года оппозиционная Сирийская национальная коалиция выбрала бывшего бизнесмена с американским образованием 49-летнего Гасана Хитто (Ghassan Hitto) в качестве временного премьер-министра для управления территориями, находящимися под контролем повстанцев.",1
987,"Мы не отменим санкции против кубинского режима, пока все политзаключённые не будут освобождены, и не будут соблюдаться свобода собраний и слова, пока все политические партии не будут узаконены, и пока не будут проведены свободные выборы под контролем международных наблюдателей», — подчеркнул глава Белого дома.",0
989,"— Но приговор Здоровенину должен стать напоминанием о том, что и рука закона не нуждается в географической близости».",0
1001,Экспозиция смогла завоевать восхищение ЕС китайской культурой.,1
1005,"Папа римский Франциск в воскресенье объявил, что 24 апреля 2016 года во всех храмах Римско-католической церкви в Европе пройдет специальный сбор пожертвований для народа Украины.",1
1008,"Однако Алан Дзагоев, оформивший на 79-й минуте дубль, и Роман Павлюченко, вышедший на замену и установивший окончательный счет в матче, — 4:1 — сняли все вопросы об исходе встречи.",1
1016,"Китай согласен с США, что необходимо уважать суверенитет и территориальную целостность Украины в ее споре с Россией.",1
1023,"Во втором тайме судьбу матча едва не решила ошибка судьи, назначившего на 70-й минуте матча пенальти за нарушение, произошедшее на линии штрафной площади.",0
1024,"Большинство стран признают Китай, сейчас осталось лишь 16 признающих Тайвань стран.",1
1028,"Ведь не секрет, что 2010 год, при всех успехах Google, никак нельзя назвать годом этой компании.",1
1032,При этом ''Netflix'' выразил глубокую озабоченность в связи с появившимися сутки назад обвинениями в адрес сыгравшего главную роль в «Карточном домике» Кевина Спейси.,0
1037,Первый канал и создатели программ «Кто хочет стать миллионером?» и «Что?,0
1040,Обама назначил сенатора Керри на пост госсекретаря США,1
1045,В письме издателю Rolling Stone Янну Веннеру мэр Бостона Томас Менино обвинил журнал в придании Царнаеву статуса знаменитости.,0
1047,Ранее встречу с главой государства провели премьер-министр Македонии Зоран Заев и министр иностранных дел Никола Димитров.,1
1048,Иисус Христос потребовал свободы Pussy Riot в новом эпизоде «Южного парка» (смотреть),1
1050,В своей ежегодной предрождественской проповеди епископ местной католической церкви Фуад Твал отметил это достижение палестинского народа и призвал палестинцев договориться с израильтянами и прекратить этот кажущийся уже бесконечным конфликт.,1
1057,"Так, три года назад картину Дали нашли благодаря усилиям следователей в Нидерландах и уважению представителей местного криминала к искусству (оказалось, что кража предметов искусства, среди голландских воров – страшный проступок).",1
1064,"Фильм снят по книге Эндрю Ходжеса «Алан Тьюринг: Энигма» и описывает жизнь и работу знаменитого английского математика Алана Тьюринга, который помог взломать код немецкой шифровальной машины Энигма во время Второй мировой войны.",1
1065,Американский фермер отсудил 80 млн долларов у Monsanto,0
1067,"«Они также заявили, что США и Китай в равной степени заинтересованы в поддержании усилий по поиску мирного решения продолжающегося конфликта между Россией и Украиной, которое основывалось бы на соблюдении норм международного права и уважении суверенитета и территориальной целостности Украины», — говорится в заявлении.",0
1069,Южная и Северная Кореи обменялись артиллерийскими выстрелами.,0
1070,"Лондонский «Челси», чемпион АПЛ 2014/2015 провалил первую половину сезона 2015/2016: располагается на 16 строчке в турнирной таблице, набрав 15 очков, имея в активе 4 победы, три ничьи и девять поражений.",0
1072,Саакашвили покинул Грузию после вступления в должность нового президента страны Георгия Маргвелашвили в ноябре 2013 года.,0
1073,"В январе 2010 года, менее чем за месяц до окончания срока своих полномочий, президент Украины Виктор Ющенко посмертно присвоил Бандере звание Героя Украины.",0
1076,"Организаторами экспозиции являются отделение испанского банка ''La Caixa'' — ''Obra Social La Caixa'', шотландская компания ''Nomad Exhibitions'' и ''Museo de Nankin'', чьи старания позволили выставке путешествовать по миру.",1
1083,Саудовская Аравия прекратила наземное сообщение с Катаром.,0
1084,"Как заявила председатель Норвежского нобелевского комитета Берит Рейсс-Андерсен в пятницу, 5 октября 2018 года, Муквеге и Мурад «внесли важный вклад в привлечение внимание к таким военным преступлениям и борьбу с ними».",1
1085,69-летнего Гарсию обвиняли в получении взяток от бразильской строительной компании Odebrecht.,0
1086,"В крае увольнение А.Шемелева связывают с неудовлетворительными результатами единороссов на парламентских выборах, состоявшихся 4 декабря 2011г. По Приморью ""ЕР"" набрала 32,99%, а во Владивостоке, где А.Шемелев баллотировался по 4-му одномандатному избирательному округу, и вовсе проиграла КПРФ.",0
1090,"Участницы панк-группы Pussy Riot Мария Алехина и Надежда Толоконникова отбывают двухлетний срок за хулиганство — девушки провели акцию в Храме Христа Спасителя в Москве, во время которой исполнили песню со словами «Богородица, Путина прогони».",0
1092,"Соединенные Штаты и Грузия решили расширять сотрудничество в сфере наращивания оборонного потенциала, обмена информацией и других ключевых военных сферах на фоне продолжающейся российской оккупации грузинских территорий.",1
1094,Власти Северной Кореи осудили главу МИД Японии Фумио Кисиду за его высказывания о наращивании давления на Пхеньян.,0
1097,"Президент Дональд Трамп помиловал Джо Арпайо, своего политического союзника, который называл себя «самым суровым шерифом Америки».",1
1101,Однако не все противники Тэтчер солидарны с действиями левых активистов.,0
1102,"Дочь Ван Цзюня, Ван Цзинцзин, получила образование в Австралии, директор компании Huixin Yin Tong, жила в квартире в Гонконге стоимостью 7 млн долларов.",1
1103,"Саудовская Аравия, Россия и ещё 35 государств направили в ООН письмо в поддержку политики Китая в его регионе Синьцзян.",1
1106,"Россия приветствует лишь один сценарий, конструктивный диалог правительства Сирии и оппозиции без иностранного вмешательства.",0
1109,11 июля в одной из онкологических клиник Германии на 53-м году жизни скончался артист Ленкома Павел Смеян.,1
1110,"Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.",1
1114,В наши дни к чудотворным образам вновь потянулись вереницы паломников и почитателей Богородицы.,1
1118,"Президент Путин предпочтет рискнуть, объявив угрозы канцлера Меркель пустой риторикой, говорит аналитик лондонской страховой компании Jardine Lloyd Thompson Элизабет Стивенс:",0
1119,"Расул Мирзаев, виновный в гибели московского студента, освобождён в зале суда",0
1120,"Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.",1
1122,"НОК отреагировал на происходящие события заявлением о том, что комитет горд сотрудничеством с Ральфом Лореном: «В отличие от большинства олимпийских команд в мире, американская финансируется в частном порядке.",1
1129,Антидопинговое агентство США (USADA) лишит знаменитого велогонщика Лэнса Армстронга всех его титулов и запретит ему участвовать в соревнованиях.,0
1130,"Главные роли исполнили звезда фильма «Лунный свет» Махершала Али и Вигго Мортенсен, знакомый российским зрителям по роли Арагорна во «Властелине колец».",1
1133,"Они должны признать Израиль, отказаться от применения силы и продолжить мирный процесс», - сказала Меркель.",1
1138,"После войны Младич вернулся в Белград, где, как предполагается, ему оказал поддержку тогдашний президент Сербии Слободан Милошевич.",1
1142,"Это поколебало позиции Цай, которая в январе 2020 года собирается снова стать президентом.",0
1145,"Какие-то далеко идущие выводы из сегодняшней игры сделать невозможно, потому что соперник, конечно, заметно уступал ЦСКА в классе.",1
1149,"Земан собирается с помощью ""своего"" правительства решить и прошлые частные проблемы с министром иностранных дел Карлом Шварценбергом, с которым у президента возникли разногласия по поводу кандидатур на пост дипломатических посланников в Москву и Братиславу.",1
1150,"США заявили, что пересмотрят отношения с Сальвадором после того, как центральноамериканское государство разорвало дипломатические отношения с Тайванем в пользу Китая.",1
1151,"Он также прокомментировал инцидент со сторонником «Лиги» Лукой Траини, который в начале 2018 года устроил стрельбу по африканцам в городе Мачерата.",1
1156,"В несколько быстрых касаний россияне Дзагоев, Зырянов и Кержаков вышли в контратаку.",1
1161,"Но «Спартаку» не смогут помочь Инсаурральде и Пареха, так как они получили красные карточки, а также Эменике, получивший четвёртую желтую карточку в сезоне.",0
1164,Позднее экстремисты вытеснили НДОА с подконтрольных территорий.,0
1169,"Британская пресса, до сих пор болезненно переживающая разгромное поражение Лондона на выборах принимающего государства чемпионата мира по футболу 2018 года, выявила первое подтверждение преподношения российскими чиновниками дорогих подарков членам Международной федерации футбольных ассоциаций (ФИФА).",0
1171,"В том числе, именно он убедил президента Афганистана Хамида Карзая согласиться на второй тур выборов в 2009 году.",1
1178,С тех пор в общей сложности более 50 женщин рассказали о сексуальных домогательствах со стороны 65-летнего Вайнштейна.,0
1179,"В пятницу, 5 января 2017 года, судья Тбилисского городского суда Георгий Аревадзе признал бывшего президента Грузии Михаила Саакашвили виновным в злоупотреблении служебными полномочиями на посту главы государства и заочно приговорили к трём годам заключения.",0
1186,"Отвечая на вопрос о кризисе в Венесуэле, Трамп сказал, что США «имеют много вариантов действий, включая военный, если необходимо».",1
1190,"— В местной администрации и в фонде „Пересвет“ очень хорошо понимают, что в школьном возрасте необходимо начинать достигать определенных успехов для того, чтоб быть более уверенным в себе в более взрослом возрасте.",1
1193,Административный суд Кёльна снял с последнего альбома немецкой индастриал-метал группы Rammstein «Liebe ist für alle da» все ограничения на реализацию.,1
1197,"По данным международных наблюдателей, в последнее время на востоке Украины усилились столкновения между правительственными войсками и пророссийскими сепаратистами.",0
1202,"Большинство при голосовании в чешском парламенте, таким образом, решает то ""болото"", что осталось от правоцентристской партии ""Дела общественные"" (Veci verejne).",0
1205,"Сторонники левых также устраивали праздничные мероприятия по всей Великобритании в течение недели после смерти баронессы, некоторые из которых заканчивались стычками с полицией.",0
1219,"«Пока не вижу, чтобы парламент изменился принципиально и качественно.",0
1221,"Мы рассказываем об удивительных американских технологиях, здравоохранении и медицине, образовании и людях, в том числе о русскоязычной диаспоре в США.",1
1222,С конца 2015 года в Израиле зафиксирован всплеск нападений на израильтян со стороны палестинцев и израильских арабов.,0
1223,"В упорной борьбе россиянки уступили первый сет 21:25, но затем собрались и уверенно переиграли менее титулованных соперниц в трёх сетах подряд 25:9, 25:17, 25:11.",1
1224,"Он уступает лишь легендарному Крису Челиосу, который всего два года назад играл с Red Wings в финале, а еще за год до этого выиграл Кубок (ему было, соответственно, 47 и 46 лет).",1
1227,«Между Израилем и Новой Зеландией существует настоящее братство.,1
1230,После свержения Маркоса Акино стала президентом Филиппин.,0
1239,А греческая оппозиция заявила о намерении инициировать голосование о выражении недоверия правительству Алексиса Ципраса.,0
1242,Власти Северной Кореи намерены нанести предупредительный удар по Японии и США при «малейших провокациях» с их стороны.,0
1247,"По словам Мнучина, «Мадуро цепляется за Кубу, чтобы остаться у власти, покупая военную и разведывательную помощь в обмен на нефть».",1
1248,"Аветисян также поблагодарил за содействие в принятие резолюции ее автора — конгрессмена Хетча, а также Джеймса Галстяна и шерифа Мидлесекса Питера Кутунджяна за их усилия по защите в США интересов Арцаха.",1
1250,"Президент «MicroBank», Антонио Вила (Antonio Vila), рассказал, что за 9 лет существования этой льготной программы, она смогла стать одним из ключевых игроков микрофинансового сектора в Испании и Европе, а также стала полезным ресурсом для содействия финансовой интеграции и стимулирования экономической деятельности и создания рабочих мест.",1
1251,"Тем не менее немногим ранее американский экономист Десмонд Лакман призвал Грецию, Ирландию, Испанию и Португалию, чьи экономики являются самыми проблемными в ЕС, добровольно выйти из зоны евро.",0
1254,Обама призвал премьер-министра тесно сотрудничать с Евросоюзом и Международным валютным фондом в реализации программы экономических реформ в Греции.,1
1256,США ввели санкции против Кубы за поддержку Мадуро,0
1258,"Украинец не допускал ошибок, уходил из области видимости Гассиева и постоянно накидывал тому встречные удары.",1
1264,"США в четверг выступили с осуждением в адрес России, обвинив её в проведении в октябре 2019 года серии кибератак против Грузии.",0
1267,"Новость о том, что американская команда должна носить экипировку, сшитую в Китае, вызвала возмущение и критику со стороны ряда политиков.",0
1283,"На вопрос о травме основного вратаря сборной Игоря Акинфеева, полученной им в матче российской премьер-лиги между «Спартаком» и ЦСКА, Адвокат ответил, что «футболисты приходят на пресс-конференцию, чтобы говорить о сборной России, а не о „Зените“, „Спартаке“ или ЦСКА».",0
1284,Италии и Испании не понадобится финансовая помощь,1
1292,Британские СМИ обвинили Россию в подкупе членов ФИФА на выборах страны-хозяйки ЧМ-2018 по футболу,0
1298,"Бардо, известная также и как активистка борьбы за права животных, заявила, что готова попросить российское гражданство, если власти Франции не сделают ничего, чтобы спасти от усыпления слоних Бэби и Непал.",0
1303,"Когда у меня все было плохо, я встречался с Аркадием, и после разговора с ним на душе всегда легчало.",1
1304,Уго Чавес: «США и Израиль провоцируют ядерную войну»,0
1311,"В одной из своих поездок он познакомился с будущей женой, но, когда та заскучала по родине и захотела вернуться в Германию, проблемы с законом дали себя знать.",1
1314,"У россиян дважды отличился Алан Дзагоев, и по разу чешские ворота поразили Роман Павлюченко и Роман Широков.",1
1320,17 декабря 2015 года уволен с поста главного тренера футбольного клуба «Челси» Жозе Моуринью.,0
1323,"«Внутренние атаки» (insider attack) совершают, в частности, сторонники «Талибана», которым удалось проникнуть на службу в афганские армию или полицию.",0
1324,Совместно с «изобретателем Всемирной паутины» Тимом Бернерсом-Ли Аарон Шварц написал несколько работ.,1
1325,"Шахин заявил, что талибы «призвали [американских военных] прекратить подобные нападения».",0
1332,"В 2007 году она основала фонд «Справедливая помощь», который занимался поддержкой онкобольных, нуждающихся и бездомных.",1
1336,"В заявлении Нобелевского комитета было сказано, что премия Фо присуждается за то, что он, наследуя средневековым шутам, порицает власть и авторитет и защищает достоинство угнетаемых.",1
1337,Во втором матче сборной России противостояла сборная Турции.,0
1343,"Особо радует презентация команды Рабобанк, в которой явный лидер и надежда гонки - россиянин Денис Меньшов.",1
1347,"Мадуро, пользующийся поддержкой Китая и России, закрыл границы для американской помощи, но принял помощь от Красного креста.",1
1348,"Четыре года спустя после незаконной аннексии Автономной Республики Крым и города Севастополя Российской Федерацией ЕС подтвердил, что он не признает ее и продолжает осуждать это нарушение международного права.",0
1349,"Впоследствии Мутарика перестал поддерживать Мулузи, основав Демократическую прогрессивную партию, которая в настоящее время контролирует большинство мест в парламенте Малави.",1
1352,"В заявку сборной России под руководством Владимира Кузюткина попали связующие Вера Улякина и Евгения Старцева, нападающие Леся Махно, Любовь Соколова, Наталья Гончарова, Ольга Фатеева, Екатерина Гамова и Татьяна Кошелева, блокирующие Мария Борисенко (капитан команды), Мария Перепёлкина, Елена Константинова и Юлия Меркулова и два либеро Светлана Крючкова и Екатерина Кабешова.",1
1368,"Один из таких вариантов описывается как «агрессивный патруль»: предлагалось организовать полёты американских боевые самолётов над казармами Иранской революционной гвардии, чтобы подчеркнуть серьёзность ситуации.",0
1369,"Метцнер начал свою адвокатскую карьеру, успешно защищая обвиняемых в мелком воровстве, и вскоре стал экспертом по освобождению своих клиентов в связи с несоблюдением юридических формальностей.",1
1372,"Суд в Италии приговорил украинского бойца Виталия Маркива к 24 годам тюрьмы за соучастие в убийстве итальянского фотографа, освещавшего войну в Донбассе в 2014 году.",0
1373,"В СК РФ уже подтвердили эту информацию, уточнив, что массовое убийство устроил 18-летний студент колледжа, который застрелился, и переквалифицировали уголовное дело со статьи 205 УК РФ «теракт» на статью 105 УК РФ часть 2 «убийство двух и более лиц».",0
1382,"Участницы панк-группы Pussy Riot Мария Алехина и Надежда Толоконникова отбывают двухлетний срок за хулиганство — девушки провели акцию в Храме Христа Спасителя в Москве, во время которой исполнили песню со словами «Богородица, Путина прогони».",0
1386,"Третья часть перезаспустившейся трилогии поведует о том, как армия обезьян под командованием Цезаря (роль исполняет Энди Серкис) будет мстить за свой род людям под командованием полковника (роль Вуди Харрельсона).",0
1393,Он был арестован за совершённое им при отягчающих обстоятельствах убийство Майкла Хэднота.,0
1394,24-летняя Луиза Вестерагер Йесперсен и 28-летняя Марен Уеланд были жестоко убиты в Марокко сторонниками «Исламского государства».,0
1399,Отец Ивана Агафонова был категорически не согласен с предложением прокурора.,0
1401,24 июня 2013 года миланский суд приговорил бывшего премьер-министра Италии Сильвио Берлускони к семи годам лишения свободы по делу несовершеннолетней танцовщицы Руби (Каримы эль-Маруг).,0
1403,В то время как сильнейший замбиец представляет чемпионат Китая.,1
1404,"В другом твите Хаменеи заявил, что США сыграли главную роль в создании Исламского государства (ИГ) на саудовские деньги, направив затем ИГ «против иракского и сирийского народов».",0
1408,"В этой публикации утверждается, что президент стала жертвой «заговора коппрумпированных политиков», направленного против Бразилии, демократии и, в первую очередь, против граждан страны.",0
1413,"В знак протеста против поведения единороссов, игнорирующих мнение представителей остальных партий, представленных в Госдуме, фракция КПРФ в полном составе покинула заседание.",0
1419,"Полный список держался в секрете, однако эксперты называли в числе фаворитов молодёжных активисток Ильвад Эльман из Сомали и Хаджер Шариф из Ливии, а также активиста из Гонконга 23-летнего Натана Лау и экоактивистку из Швеции Грету Тунберг.",1
1423,"В другом твите Хаменеи заявил, что США сыграли главную роль в создании Исламского государства (ИГ) на саудовские деньги, направив затем ИГ «против иракского и сирийского народов».",0
1425,Последние новости из Германии полны тревожных предчувствий.,0
1431,"Китай в последние годы интенсивно расширяет присутствие в Африке, он является её крупнейшим торговым партнёром.",1
1442,"Я хочу понять, смогу ли я превратить экстраординарный роман Михаила Булгакова „Мастер и Маргарита“ в мюзикл или, более вероятно, в оперу.",1
1446,"Президент России, Владимир Путин, лично выразил соболезнования родным и близким Виктора Тихонова, в частности, внучке Тихоновой Татьяне Васильевне:",1
1450,"Россия приветствует лишь один сценарий, конструктивный диалог правительства Сирии и оппозиции без иностранного вмешательства.",0
1452,"Компании Qualcomm и Google были уведомлены о проблемах в марте и уже успели выпустить исправления (Qualcomm проинформировал о проблемах в июньском отчёте, а Google устранил уязвимости в августовском обновлении платформы Android).",1
1454,Итальянская прокуратура города Павия обвинила Маркива в причастности к убийству.,0
1458,"Госсекретарь США Майк Помпео заявил, что Главное разведывательное управление Генштаба вооружённых сил России совершило масштабную кибератаку на Грузию, в результате которой напрямую пострадало население страны.",0
1466,"Презентацию глянца нового формата посетили известные в Украине и за её пределами художники, именитые дизайнеры и звёздные гости: Диана Агаян, Александра Кормилицына, Юлия Богдан, Алексей и Виктория Лебедько, Танака Икуко, Елена Гребенюк, Константин Зубач, Андрей Кише (Kishe), Владлена Сопко, Поль Манондиз и ведущая телепроекта «Все буде добре» Надежда Матвеева.",1
1473,"Отставки Гречмана потребовали томские журналисты после жестокого избиения их коллеги Константина Попова, совершенного милиционером.",0
1480,"В компании добавили, что «''TikTok стремится быть ответственным лицом в США, что включает в себя работу с Сенатом и другие регулирующими органами''».",1
1481,"Сухейль Шахин, официальный представитель талибов написал в Твиттере о встрече с американским генералом Скоттом Миллером, который также командует миссией НАТО по поддержке невоенных решений в стране.",1
1486,"Невзорвавшееся устройство было протестировано на отпечатки пальцев, в результате чего, согласно материалам следствия, было найдено 12 отпечатков пальцев Рахами.",0
1491,"Ранее в четверг, 15 июня 2017 года, прокуроры в Вашингтоне выписали в отношении ряда охранников турецкого лидера ордера на арест.",0
1492,4 января 2013 года Федеральный суд Южного округа Нью-Йорка приговорил россиянина Владимира Здоровенина к трем годам лишения свободы за кибермошенничество и кражу персональных данных.,0
1493,Некоторые видят параллели между войнами в сериале и современной историей Китая — после совместной борьбы с внешним врагом в китайско-японской войне Коммунистическая партия и националистический Гоминьдан начали гражданскую войну.,0
1512,Великобритания обвиняет Россию в использовании химического оружия.,0
1523,"Картина основана на реальных событиях и повествует об убийстве 1 января 2009 года безоружного 22-летнего афроамериканца Оскара Гранта, застреленного полицией на остановке метро «Фрутвейл» в Окленде (штат Калифорния) в 2009 году.",0
1529,"Чавес настроил против себя Соединенные Штаты и ряд других государств, после того как национализировал крупные компании и получил расположение таких мировых лидеров как Фидель Кастро на Кубе, Махмуд Ахмадинеджад — в Иране и Муаммар Каддафи — в Ливии.",1
1533,"Однако это кажется не таким удивительным, если учесть, что в Великобритании власти собирают автомобильных штрафов примерно на миллиард долларов в год.",0
1539,"Находясь в указанной тюрьме, он в декабре 1988 избил до смерти своего сокамерника Джонни Аллена, сидевшего за кражу.",0
1540,Между тем с победой сборную России уже успел поздравить премьер-министр Дмитрий Медведев.,1
1543,В 2011 году Лэнс завершил свою спортивную карьеру целиком посвятив себя благотворительности.,1
1544,"Решением суда в Сеуле Apple выплатит Samsung около 35 тысяч долларов в качестве штрафа, а Samsung Apple — более 22 тысяч долларов.",0
1545,"Кроме того, считает Чавес, все обвинения, адресованные Ирану и Сирии, надуманны.",1
1552,Другие инциденты были связаны с плакатами к фильмам о жизни еще двух знаменитых курильщиков — дизайнера Коко Шанель и поэта Сержа Генсбура.,1
1553,"В понедельник 18 февраля Борисов пытался смягчить кризис, уволив непопулярного министра финансов Симеона Дянкова, а во вторник объявил о своём намерении отозвать лицензию чешской компании CEZ, которая отвечает за распределительные сети.",0
1555,"На самом деле до 70-х годов двадцатого века уровень жизни в обеих странах был примерно одинаковым, а потом Австралия стала развиваться быстрее.",1
1558,"Генпрокуратора Украины считает, что организованные им акции протеста финансируются из России окружением экс-президента Виктора Януковича, в частности, Сергеем Курченко, и направлены на свержение государственной власти.",0
1562,"Сборная России по футболу должна набрать шесть очков в ближайших отборочных матчах чемпионата Европы 2012 года с командами Македонии и Ирландии, которые состоятся 2 и 6 сентября соответственно.",0
1574,Патрик Фэрроу получил несколько национальных премий за его достижения в области скульптуры.,1
